每半小时时间,城市,区县,订单量,是否节假日,天气,GDP,常驻人口
2019/10/17 12:00,南京市,鼓楼区,3105,0,Clear,1600,90
2019/10/17 12:30,南京市,六合区,11228,0,Clear,500,60
2019/10/17 12:30,南京市,建邺区,6922,0,Clear,500,30
2019/10/17 12:30,南京市,栖霞区,8492,0,Clear,1000,80
2019/10/17 12:30,南京市,江宁区,19740,0,Clear,2100,130
2019/10/17 12:30,南京市,浦口区,13738,0,Clear,400,40
2019/10/17 12:30,南京市,溧水区,6367,0,Clear,400,50
2019/10/17 12:30,南京市,玄武区,2161,0,Clear,1200,60
2019/10/17 12:30,南京市,秦淮区,6417,0,Clear,800,50
2019/10/17 12:30,南京市,雨花台区,8229,0,Clear,500,40
2019/10/17 12:30,南京市,高淳区,15384,0,Clear,600,43
2019/10/17 12:30,南京市,鼓楼区,3826,0,Clear,1600,90
2019/10/17 13:00,南京市,六合区,11042,0,Clear,500,60
2019/10/17 13:00,南京市,建邺区,6900,0,Clear,500,30
2019/10/17 13:00,南京市,栖霞区,8874,0,Clear,1000,80
2019/10/17 13:00,南京市,江宁区,21682,0,Clear,2100,130
2019/10/17 13:00,南京市,浦口区,16937,0,Clear,400,40
2019/10/17 13:00,南京市,溧水区,8174,0,Clear,400,50
2019/10/17 13:00,南京市,玄武区,3657,0,Clear,1200,60
2019/10/17 13:00,南京市,秦淮区,7694,0,Clear,800,50
2019/10/17 13:00,南京市,雨花台区,8255,0,Clear,500,40
2019/10/17 13:00,南京市,高淳区,16270,0,Clear,600,43
2019/10/17 13:00,南京市,鼓楼区,4156,0,Clear,1600,90
2019/10/17 13:30,南京市,六合区,12466,0,Clear,500,60
2019/10/17 13:30,南京市,建邺区,7272,0,Clear,500,30
2019/10/17 13:30,南京市,栖霞区,9317,0,Clear,1000,80
2019/10/17 13:30,南京市,江宁区,21719,0,Clear,2100,130
2019/10/17 13:30,南京市,浦口区,15819,0,Clear,400,40
2019/10/17 13:30,南京市,溧水区,7953,0,Clear,400,50
2019/10/17 13:30,南京市,玄武区,3204,0,Clear,1200,60
2019/10/17 13:30,南京市,秦淮区,9620,0,Clear,800,50
2019/10/17 13:30,南京市,雨花台区,9229,0,Clear,500,40
2019/10/17 13:30,南京市,高淳区,16207,0,Clear,600,43
2019/10/17 13:30,南京市,鼓楼区,4093,0,Clear,1600,90
2019/10/17 14:00,南京市,六合区,12048,0,Partly cloudy,500,60
2019/10/17 14:00,南京市,建邺区,6723,0,Partly cloudy,500,30
2019/10/17 14:00,南京市,栖霞区,9706,0,Partly cloudy,1000,80
2019/10/17 14:00,南京市,江宁区,22162,0,Partly cloudy,2100,130
2019/10/17 14:00,南京市,浦口区,16609,0,Partly cloudy,400,40
2019/10/17 14:00,南京市,溧水区,8175,0,Partly cloudy,400,50
2019/10/17 14:00,南京市,玄武区,3636,0,Partly cloudy,1200,60
2019/10/17 14:00,南京市,秦淮区,10731,0,Partly cloudy,800,50
2019/10/17 14:00,南京市,雨花台区,9410,0,Partly cloudy,500,40
2019/10/17 14:00,南京市,高淳区,17027,0,Partly cloudy,600,43
2019/10/17 14:00,南京市,鼓楼区,4770,0,Partly cloudy,1600,90
2019/10/17 14:30,南京市,六合区,11375,0,Partly cloudy,500,60
2019/10/17 14:30,南京市,建邺区,6711,0,Partly cloudy,500,30
2019/10/17 14:30,南京市,栖霞区,10073,0,Partly cloudy,1000,80
2019/10/17 14:30,南京市,江宁区,20687,0,Partly cloudy,2100,130
2019/10/17 14:30,南京市,浦口区,16562,0,Partly cloudy,400,40
2019/10/17 14:30,南京市,溧水区,7205,0,Partly cloudy,400,50
2019/10/17 14:30,南京市,玄武区,3284,0,Partly cloudy,1200,60
2019/10/17 14:30,南京市,秦淮区,9845,0,Partly cloudy,800,50
2019/10/17 14:30,南京市,雨花台区,8172,0,Partly cloudy,500,40
2019/10/17 14:30,南京市,高淳区,17971,0,Partly cloudy,600,43
2019/10/17 14:30,南京市,鼓楼区,3872,0,Partly cloudy,1600,90
2019/10/17 15:00,南京市,六合区,12409,0,Partly cloudy,500,60
2019/10/17 15:00,南京市,建邺区,5353,0,Partly cloudy,500,30
2019/10/17 15:00,南京市,栖霞区,8172,0,Partly cloudy,1000,80
2019/10/17 15:00,南京市,江宁区,19774,0,Partly cloudy,2100,130
2019/10/17 15:00,南京市,浦口区,14108,0,Partly cloudy,400,40
2019/10/17 15:00,南京市,溧水区,6739,0,Partly cloudy,400,50
2019/10/17 15:00,南京市,玄武区,3704,0,Partly cloudy,1200,60
2019/10/17 15:00,南京市,秦淮区,7611,0,Partly cloudy,800,50
2019/10/17 15:00,南京市,雨花台区,7403,0,Partly cloudy,500,40
2019/10/17 15:00,南京市,高淳区,18742,0,Partly cloudy,600,43
2019/10/17 15:00,南京市,鼓楼区,3451,0,Partly cloudy,1600,90
2019/10/17 15:30,南京市,六合区,10223,0,Partly cloudy,500,60
2019/10/17 15:30,南京市,建邺区,3205,0,Partly cloudy,500,30
2019/10/17 15:30,南京市,栖霞区,7677,0,Partly cloudy,1000,80
2019/10/17 15:30,南京市,江宁区,18599,0,Partly cloudy,2100,130
2019/10/17 15:30,南京市,浦口区,13553,0,Partly cloudy,400,40
2019/10/17 15:30,南京市,溧水区,5672,0,Partly cloudy,400,50
2019/10/17 15:30,南京市,玄武区,3476,0,Partly cloudy,1200,60
2019/10/17 15:30,南京市,秦淮区,7697,0,Partly cloudy,800,50
2019/10/17 15:30,南京市,雨花台区,6541,0,Partly cloudy,500,40
2019/10/17 15:30,南京市,高淳区,16010,0,Partly cloudy,600,43
2019/10/17 15:30,南京市,鼓楼区,4210,0,Partly cloudy,1600,90
2019/10/17 16:00,南京市,六合区,9417,0,Partly cloudy,500,60
2019/10/17 16:00,南京市,建邺区,3488,0,Partly cloudy,500,30
2019/10/17 16:00,南京市,栖霞区,6623,0,Partly cloudy,1000,80
2019/10/17 16:00,南京市,江宁区,18255,0,Partly cloudy,2100,130
2019/10/17 16:00,南京市,浦口区,13183,0,Partly cloudy,400,40
2019/10/17 16:00,南京市,溧水区,6125,0,Partly cloudy,400,50
2019/10/17 16:00,南京市,玄武区,3135,0,Partly cloudy,1200,60
2019/10/17 16:00,南京市,秦淮区,7231,0,Partly cloudy,800,50
2019/10/17 16:00,南京市,雨花台区,6170,0,Partly cloudy,500,40
2019/10/17 16:00,南京市,高淳区,16078,0,Partly cloudy,600,43
2019/10/17 16:00,南京市,鼓楼区,3566,0,Partly cloudy,1600,90
2019/10/17 16:30,南京市,六合区,12117,0,Partly cloudy,500,60
2019/10/17 16:30,南京市,建邺区,3499,0,Partly cloudy,500,30
2019/10/17 16:30,南京市,栖霞区,6519,0,Partly cloudy,1000,80
2019/10/17 16:30,南京市,江宁区,18099,0,Partly cloudy,2100,130
2019/10/17 16:30,南京市,浦口区,13443,0,Partly cloudy,400,40
2019/10/17 16:30,南京市,溧水区,6404,0,Partly cloudy,400,50
2019/10/17 16:30,南京市,玄武区,2882,0,Partly cloudy,1200,60
2019/10/17 16:30,南京市,秦淮区,6252,0,Partly cloudy,800,50
2019/10/17 16:30,南京市,雨花台区,5820,0,Partly cloudy,500,40
2019/10/17 16:30,南京市,高淳区,15736,0,Partly cloudy,600,43
2019/10/17 16:30,南京市,鼓楼区,4002,0,Partly cloudy,1600,90
2019/10/17 17:00,南京市,六合区,13258,0,Partly cloudy,500,60
2019/10/17 17:00,南京市,建邺区,2928,0,Partly cloudy,500,30
2019/10/17 17:00,南京市,栖霞区,6568,0,Partly cloudy,1000,80
